word	part_of_speech	major	minor
-가02	접사	인간	사람의 종류
-가량	접사	개념	양
-간	접사	개념	시간
-감	접사	인간	감정
-객	접사	인간	사람의 종류
-료	접사	경제생활	경제 수단
-률02	접사	개념	정도
-발02	접사	개념	위치 및 방향
-사01	접사	인간	사람의 종류
-사06	접사	인간	사람의 종류
-심	접사	인간	감정
-원01	접사	인간	사람의 종류
-율02	접사	개념	정도
-자06	접사	인간	사람의 종류
제-	접사	개념	순서
-질	접사	인간	신체 행위
-째02	접사	개념	순서
-학	접사	교육	전공과 교과목
가01	명사	자연	지형
-가06	접사	경제생활	경제 수단
가게	명사	경제생활	경제 행위 장소
가격02	명사	경제생활	경제 수단
가계02	명사	경제생활	경제 행위 주체
가곡	명사	문화	음악
가공01	명사	경제생활	경제 행위
가구02	명사	주생활	생활용품
가까이01/가까이02	부사/명사	개념	위치 및 방향
가깝다	형용사	개념	위치 및 방향
가꾸다	동사	의생활	미용 행위
가끔	부사	개념	빈도
가난	명사	경제생활	경제 상태
가냘프다	형용사	인간	용모
가누다	동사	인간	신체 행위
가느다랗다	형용사	개념	모양
가늘다	형용사	개념	모양
가늠	명사	인간	인지 행위
가능	명사	인간	능력
가능성	명사	인간	능력
가다01	동사	인간	신체 행위
가득	부사	개념	양
가득하다	형용사	개념	양
가득히	부사	개념	양
가렵다	형용사	인간	감각
가로01/가로02	명사/부사	개념	위치 및 방향
가로수	명사	동식물	식물류
가루	명사	개념	모양
가르치다	동사	교육	교수 학습 행위
가르침	명사	교육	교수 학습 행위
가리키다	동사	인간	신체 행위
가만히	부사	인간	태도
가면	명사	의생활	모자, 신발, 장신구
가뭄	명사	자연	재해
가방	명사	의생활	모자, 신발, 장신구
가볍다	형용사	개념	성질
가쁘다	형용사	삶	병과 증상
가사01	명사	주생활	가사 행위
가상	명사	인간	인지 행위
가설03	명사	교육	학문 용어
가속	명사	개념	속도
가속화	명사	개념	속도
가수	명사	사회생활	직업
가스	명사	자연	자원
가스레인지	명사	주생활	생활용품
가슴	명사	인간	신체 부위
가습기	명사	주생활	생활용품
가시01	명사	동식물	식물의 부분
가시01	명사	동식물	동물의 부분
가시다	동사	인간	신체 행위
가야금	명사	문화	음악
가엾다	형용사	인간	감정
가옥	명사	주생활	주거 형태
가요	명사	문화	대중문화
가운데	명사	개념	위치 및 방향
가위01	명사	교육	학습 관련 사물
가을	명사	개념	시간
가장01	부사	개념	순서
가장02	명사	삶	친족 관계
가장자리	명사	개념	위치 및 방향
가전제품	명사	주생활	생활용품
가정02	명사	교육	학문 용어
가정주부	명사	사회생활	직업
가져가다	동사	사회생활	사회 활동
가져오다	동사	사회생활	사회 활동
가족	명사	삶	친족 관계
가죽	명사	동식물	동물의 부분
가지01	명사	동식물	식물의 부분
가지03	의존명사	개념	세는 말
가지런히	부사	개념	모양
가창력	명사	인간	능력
가책	명사	인간	감정
가축	명사	동식물	동물류
가치	명사	인간	인지 행위
가치관	명사	인간	인지 행위
가톨릭	명사	종교	종교 유형
각02	명사	개념	모양
각국	명사	개념	지역
각도	명사	개념	정도
각본	명사	문화	대중문화
각성	명사	인간	인지 행위
각양각색	명사	개념	모양
각오	명사	인간	인지 행위
각지	명사	개념	지역
간01	명사	식생활	맛
간03	명사	인간	신체 부위
간04	의존명사	사회생활	인간관계
간간이	부사	개념	정도
간격	명사	개념	위치 및 방향
간과하다	동사	인간	인지 행위
간담회	명사	사회생활	사회 활동
간밤	명사	개념	시간
간부	명사	사회생활	직위
간식	명사	식생활	음식
간신히	부사	인간	태도
간장01	명사	식생활	식재료
간절하다	형용사	인간	감정
간절히	부사	인간	감정
간주01	명사	인간	인지 행위
간지럽다	형용사	인간	감각
간판	명사	주생활	주택 구성
간호	명사	삶	치료 행위
간호사	명사	사회생활	직업
간혹02/간혹01	부사/명사	개념	빈도
갈대	명사	동식물	식물류
갈등	명사	인간	감정
갈망	명사	인간	인지 행위
갈비	명사	식생활	식재료
갈비탕	명사	식생활	음식
갈색	명사	개념	색깔
갈수록	부사	개념	시간
갈아입다	동사	의생활	의복 착용 행위
갈아타다	동사	사회생활	교통 이용 행위
갈증	명사	인간	감각
감01	명사	식생활	과일
감03	명사	인간	감정
감각	명사	인간	감각
감격	명사	인간	감정
감격스럽다	형용사	인간	감정
감금	명사	정치와 행정	사법 및 치안 행위
감기	명사	삶	병과 증상
감기약	명사	삶	약품류
감다01	동사	인간	신체 행위
감다02	동사	삶	일상 행위
감다03	동사	인간	신체 행위
감다03	동사	인간	신체 행위
감독	명사	사회생활	직업
감독	명사	문화	문화 활동 주체
감동	명사	인간	감정
감동적01∙감동적02	관형사∙명사	인간	감정
감량	명사	인간	신체 변화
감명	명사	인간	감정
감사01	명사	인간	감정
감사03	명사	정치와 행정	정치 및 행정 행위
감상01	명사	인간	감정
감상03	명사	문화	문화 활동
감상문	명사	문화	문학
감성	명사	인간	감정
감성적01∙감성적02	관형사∙명사	인간	감정
감소	명사	개념	양
감수01	명사	사회생활	사회 활동
감수성	명사	인간	감정
감안	명사	인간	인지 행위
감언이설	명사	사회생활	언어 행위
감염	명사	삶	병과 증상
감자01	명사	식생활	채소
감정01	명사	인간	감정
감정적01∙감정적02	관형사∙명사	인간	감정
감지	명사	인간	인지 행위
감촉	명사	인간	감각
감탄	명사	인간	감정
감탄사	명사	사회생활	말
감회	명사	인간	감정
감히	부사	인간	감정
갑갑하다	형용사	인간	감정
값	명사	경제생활	경제 수단
값싸다	형용사	경제생활	경제 상태
값어치	명사	경제생활	경제 상태
값지다	형용사	경제생활	경제 상태
갓02	부사	개념	시간
강	명사	자연	지형
강국	명사	정치와 행정	정치 및 행정 주체
강당	명사	교육	학교 시설
강대국	명사	정치와 행정	정치 및 행정 주체
강도02	명사	개념	정도
강도03	명사	정치와 행정	사법 및 치안 주체
강력00	명사	개념	정도
강력히	부사	인간	태도
강렬하다	형용사	개념	정도
강물	명사	자연	지형
강사02	명사	교육	교수 학습 주체
강산01	명사	자연	지형
강세	명사	개념	정도
강수량	명사	자연	기상 및 기후
강아지	명사	동식물	동물류
강연	명사	사회생활	언어 행위
강우량	명사	자연	기상 및 기후
강의	명사	교육	교수 학습 행위
강의실	명사	교육	학교 시설
강인하다	형용사	인간	체력 상태
강자	명사	인간	사람의 종류
강제적01∙강제적02	관형사∙명사	인간	태도
강직하다	형용사	인간	성격
강풍	명사	자연	기상 및 기후
강하다02	형용사	개념	성질
같다	형용사	개념	모양
갚다	동사	경제생활	경제 행위
개01	명사	동식물	동물류
개03	의존명사	개념	세는 말
개강	명사	교육	교수 학습 행위
개개인	명사	인간	사람의 종류
개구리	명사	동식물	동물류
개그	명사	문화	대중문화
개나리	명사	동식물	식물류
개념	명사	인간	인지 행위
개다01	동사	자연	기상 및 기후
개미	명사	동식물	곤충류
개설	명사	교육	교수 학습 행위
개설	명사	경제생활	경제 행위
개성	명사	인간	성격
개수	명사	개념	수
개신교	명사	종교	종교 유형
개업	명사	경제생활	경제 행위
개요	명사	교육	학문 용어
개운하다	형용사	인간	감각
개월	의존명사	개념	세는 말
개최	명사	사회생활	사회 활동
개표02	명사	정치와 행정	정치 및 행정 행위
객관적01∙객관적02	관형사∙명사	교육	학문 행위
객지	명사	개념	지역
걔	줄어든 말	개념	인칭
거금01	명사	경제생활	경제 수단
거기	대명사	개념	지시
거꾸로	부사	개념	위치 및 방향
거닐다	동사	인간	신체 행위
거대	명사	개념	모양
거동	명사	인간	신체 행위
거들다	동사	사회생활	사회 활동
거듭	부사	개념	빈도
거뜬하다	형용사	인간	능력
거래	명사	경제생활	경제 행위
거론	명사	사회생활	언어 행위
거리01	명사	사회생활	교통 이용 장소
거리03	명사	개념	위치 및 방향
거리낌	명사	인간	태도
거만	명사	인간	태도
거문고	명사	문화	음악
거미	명사	동식물	곤충류
거부02	명사	사회생활	사회 활동
거부감	명사	인간	감정
거북이	명사	동식물	동물류
거북하다	형용사	인간	감각
거스르다01	동사	사회생활	사회 활동
거스름돈	명사	경제생활	경제 수단
거실	명사	주생활	주택 구성
거액	명사	경제생활	경제 수단
거울	명사	주생활	생활용품
거의02/거의01	부사/명사	개념	양
거인	명사	인간	사람의 종류
거절	명사	사회생활	사회 활동
거주	명사	삶	삶의 행위
거짓말	명사	사회생활	언어 행위
거칠다	형용사	개념	성질
거칠다	형용사	개념	성질
거칠다	형용사	인간	태도
거칠다	형용사	개념	성질
거침없이	부사	인간	태도
걱정	명사	인간	감정
걱정거리	명사	인간	인지 행위
걱정스럽다	형용사	인간	감정
건강	명사	인간	체력 상태
건기	명사	자연	기상 및 기후
건너	명사	개념	위치 및 방향
건너가다	동사	사회생활	교통 이용 행위
건너다	동사	사회생활	교통 이용 행위
건너편	명사	사회생활	교통 이용 장소
건널목	명사	사회생활	교통 이용 장소
건네다	동사	사회생활	사회 활동
건네다	동사	사회생활	사회 활동
건네주다	동사	사회생활	사회 활동
건드리다	동사	인간	신체 행위
건립	명사	정치와 행정	정치 및 행정 행위
건망증	명사	삶	병과 증상
건물	명사	주생활	건물 종류
건방지다	형용사	인간	태도
건성01	명사	인간	태도
건수	명사	개념	수
건의	명사	사회생활	언어 행위
건축물	명사	주생활	건물 종류
걷다02	동사	인간	신체 행위
걷어차다	동사	인간	신체 행위
걸다02	동사	주생활	가사 행위
걸다02	동사	사회생활	사회 활동
걸레	명사	주생활	가사 행위
걸리다01	동사	삶	병과 증상
걸어가다	동사	인간	신체 행위
걸어오다01	동사	인간	신체 행위
걸음	명사	삶	일상 행위
걸음걸이	명사	인간	신체 행위
걸작	명사	문화	예술
걸치다	동사	의생활	의복 착용 행위
걸터앉다	동사	인간	신체 행위
검거	명사	정치와 행정	사법 및 치안 행위
